Employee_No,Title,Gender,Marital_Status,Date_Joined,Date_Resigned,Status,Inactive_Date,Employment_Category,Employment_Type,Religion,Designation,Year_of_Birth,Average_work_Time,Average_late_hours,Average_leave_early_hours,Project_Codes,absent count,Average Salary
411,Mr,Male,Married,4/28/2015,\N,Active,\N,Staff,Contarct Basis,Buddhist,Driver,1985.0,13.22,0.63,-6.22,"{199.0, 199.1}",7.0,41518.0
413,Mr,Male,Single,5/1/2015,8/31/2021,Inactive,8/31/2021,Staff,Contarct Basis,Buddhist,Operator-Excavator,1997.0,12.51,0.09,-3.17,"{198.0, 198.1}",13.0,22022.0
414,Mr,Male,Single,6/2/2016,\N,Inactive,10/6/2020,Staff,Contarct Basis,Hindu,Lab Technician,1985.0,NA,NA,NA,NA,NA,NA
415,Mr,Male,Married,6/1/2015,7/25/2021,Inactive,7/25/2021,Staff,Contarct Basis,Catholic,Engineer Assistant,1982.0,13.07,-0.06,-3.81,"{199.0, 199.1}",2.0,NA
416,Mr,Male,Married,6/1/2015,3/25/2021,Inactive,3/25/2021,Staff,Contarct Basis,Hindu,Supervisor,1986.0,12.85,-0.0,-3.85,{187.0},7.0,NA
419,Mr,Male,Married,8/24/2015,5/31/2021,Inactive,5/31/2021,Staff,Contarct Basis,Buddhist,Technical Officer,1988.0,9.39,0.07,-0.45,"{179.1, 179.0}",13.0,NA
420,Mr,Male,Married,9/1/2015,\N,Active,\N,Staff,Contarct Basis,Buddhist,Driver,1995.0,13.28,0.35,-6.14,"{194.0, 194.1}",37.0,36726.0
421,Mr,Male,Single,1/2/2016,8/31/2022,Inactive,8/31/2022,Staff,Contarct Basis,Buddhist,Driver,1997.0,13.41,-1.0,-3.16,"{1.0, 199.1}",39.0,41757.0
422,Ms,Female,Married,2/5/2016,4/30/2021,Inactive,4/30/2021,Staff,Contarct Basis,Buddhist,Quantity Surveyor,1981.0,NA,NA,NA,NA,NA,NA
423,Mr,Male,Married,5/12/2016,\N,Active,\N,Staff,Contarct Basis,Buddhist,Driver - Truck Mixture,1987.0,13.31,-1.02,-3.93,"{1.0, 195.0, 196.0, 199.1, 169.0, 202.0, 203.0, 206.0, 179.2, 187.0}",92.0,45644.0
424,Mr,Male,Single,5/26/2016,\N,Inactive,8/31/2021,Staff,Contarct Basis,Buddhist,Driver,1988.0,13.84,-0.2,-5.25,"{193.0, 190.0, 199.0}",7.0,NA
425,Mr,Male,Married,8/15/2016,8/31/2022,Inactive,8/31/2022,Staff,Contarct Basis,Buddhist,Office Assistant,1965.0,9.08,0.13,-1.31,{1.0},5.0,44896.0
426,Mr,Male,Married,7/3/2020,10/26/2021,Inactive,10/26/2021,Staff,Contarct Basis,Buddhist,Sociologist,1962.0,8.55,-0.08,0.38,"{179.1, 179.0}",2.0,59036.0
427,Ms,Female,Married,9/15/2016,\N,Active,\N,Staff,Contarct Basis,Buddhist,Draughtsman,1980.0,9.29,-0.08,-1.0,"{179.0, 179.1, 179.2}",11.0,75619.0
431,Mr,Male,Married,1/1/2019,\N,Active,\N,Labour,Contarct Basis,Buddhist,S/Skill,1947.0,11.32,-1.2,-1.08,"{179.0, 179.1, 179.2}",9.0,33428.0
433,Mr,Male,Married,11/1/2016,9/27/2022,Inactive,9/27/2022,Staff,Contarct Basis,Buddhist,Junior Quantity Surveyor,1993.0,9.75,-0.24,-1.02,"{179.0, 179.2, 179.1}",7.0,34974.0
434,Mr,Male,Married,11/28/2016,6/30/2021,Inactive,6/30/2021,Staff,Contarct Basis,Buddhist,Safety Officer,1972.0,13.64,-0.41,-3.71,"{194.1, 194.0}",33.0,NA
435,Mr,Male,Single,12/15/2016,\N,Active,\N,Staff,Contarct Basis,Buddhist,Technical Officer,1988.0,11.83,0.51,-4.46,"{200.0, 203.0, 181.0}",11.0,62989.0
436,Mr,Male,Married,12/15/2016,\N,Active,\N,Staff,Contarct Basis,Hindu,Supervisor,1981.0,11.69,0.06,-4.04,{182.0},0.0,60764.0
437,Mr,Male,Married,12/19/2016,12/22/2021,Inactive,12/22/2021,Staff,Contarct Basis,Buddhist,Quantity Surveyor,1991.0,8.63,0.2,-0.66,{1.0},3.0,82789.0
438,Mr,Male,Single,1/16/2017,\N,Active,\N,Staff,Contarct Basis,Buddhist,Autocad Draughtsman ,1991.0,9.89,0.83,-2.75,"{195.0, 196.0, 179.0, 179.2, 179.1}",9.0,59750.0
440,Mr,Male,Single,1/10/2017,\N,Active,\N,Staff,Contarct Basis,Buddhist,Operation Executive,1981.0,9.15,0.08,-1.16,{1.0},2.0,59076.0
443,Miss,Female,Single,1/30/2017,8/20/2021,Inactive,8/20/2021,Staff,Contarct Basis,Buddhist,Autocad Draughtsman ,1989.0,9.42,0.22,-1.2,"{179.1, 179.0}",2.0,NA
444,Mr,Male,Married,2/16/2017,\N,Inactive,10/31/2020,Staff,Contarct Basis,Buddhist,Project Manager,1966.0,NA,NA,NA,NA,NA,NA
446,Mr,Male,Married,1/1/2019,5/31/2021,Inactive,5/31/2021,Labour,Contarct Basis,Buddhist,Unskilled Labor,1955.0,10.09,-0.63,-0.46,{169.0},11.0,25356.0
448,Mr,Male,Married,1/1/2019,12/10/2020,Inactive,12/10/2020,Labour,Contarct Basis,Buddhist,Unskilled Labor,1966.0,NA,NA,NA,NA,NA,21303.0
450,Mr,Male,Married,12/3/2020,4/9/2021,Inactive,4/9/2021,Labour,Contarct Basis,Buddhist,Unskilled Labor,1976.0,11.71,-0.26,-2.45,{188.0},1.0,18706.0
451,Mr,Male,Single,3/1/2017,\N,Inactive,2/29/2020,Management,Contarct Basis,Buddhist,Technical Officer,1985.0,NA,NA,NA,NA,NA,NA
453,Mr,Male,Married,3/23/2017,\N,Active,\N,Staff,Contarct Basis,Buddhist,Store Keeper,1961.0,13.71,-0.87,-4.16,{193.0},16.0,58352.0
455,Mr,Male,Single,3/27/2017,2/19/2022,Inactive,2/19/2022,Staff,Contarct Basis,Hindu,Junior Technical Officer,1990.0,11.98,-0.03,-3.79,"{200.0, 193.0}",12.0,54339.0
456,Mr,Male,Married,1/1/2019,3/31/2020,Inactive,3/31/2020,Labour,Contarct Basis,Buddhist,Semi Skilled Labor,1977.0,NA,NA,NA,NA,NA,NA
457,Mr,Male,Married,6/1/2020,\N,Inactive,9/25/2020,Labour,Contarct Basis,Buddhist,Unskilled Labor,1967.0,NA,NA,NA,NA,NA,NA
460,Mr,Male,Married,3/1/2020,3/31/2020,Inactive,3/31/2020,Labour,Contarct Basis,Buddhist,Semi Skilled Labor,1955.0,NA,NA,NA,NA,NA,NA
461,Mr,Male,Married,1/1/2019,6/1/2021,Inactive,6/1/2021,Labour,Contarct Basis,Buddhist,Skilled Labor,1970.0,12.56,-0.25,-0.31,{199.1},0.0,NA
466,Mr,Male,Married,1/1/2019,5/31/2022,Inactive,5/31/2022,Labour,Contarct Basis,Buddhist,Unskilled Labor,1976.0,12.48,-0.77,-2.08,{193.0},12.0,26145.0
468,Mr,Male,Married,1/1/2019,\N,Active,\N,Labour,Contarct Basis,Hindu,Unskilled Labor,1976.0,11.09,-0.37,-1.61,"{193.0, 194.1, 196.0}",14.0,42713.0
471,Mr,Male,Single,4/1/2021,2/28/2022,Inactive,2/28/2022,Labour,Contarct Basis,Buddhist,Skilled Labor,1992.0,11.22,-0.28,-0.67,"{198.0, 198.1}",23.0,43564.0
475,Mr,Male,Married,1/1/2019,11/28/2020,Inactive,11/28/2020,Labour,Contarct Basis,Buddhist,Unskilled Labor,1959.0,NA,NA,NA,NA,NA,NA
476,Mr,Male,Married,4/3/2017,11/27/2021,Inactive,11/27/2021,Staff,Contarct Basis,Muslim,Technical Officer,1985.0,9.63,0.36,-1.67,"{179.1, 179.0}",6.0,50804.0
478,Ms,Female,Married,5/15/2017,8/30/2020,Inactive,8/30/2020,Staff,Contarct Basis,Buddhist,Data Entry Operator,1992.0,NA,NA,NA,NA,NA,NA
480,Mr,Male,Married,7/6/2017,4/3/2020,Inactive,4/3/2020,Staff,Contarct Basis,Hindu,Site Supervisor,1989.0,NA,NA,NA,NA,NA,NA
481,Ms,Female,Single,6/5/2017,\N,Active,\N,Staff,Contarct Basis,Buddhist,Autocad Draughtsman ,1984.0,9.48,0.41,-1.79,"{179.1, 196.0, 179.0}",5.0,61683.0
482,Mr,Male,Married,6/19/2017,5/23/2021,Inactive,5/23/2021,Staff,Contarct Basis,Buddhist,Technical Officer,1986.0,9.92,0.28,-1.2,{189.0},1.0,NA
486,Mr,Male,Married,2/1/2021,5/4/2022,Inactive,5/4/2022,Labour,Contarct Basis,Buddhist,Skilled Labor,1982.0,10.04,-0.43,-0.51,{193.0},2.0,22453.0
487,Mr,Male,Married,1/1/2019,\N,Active,\N,Labour,Contarct Basis,Buddhist,Mason,1992.0,10.44,-0.17,-1.09,"{194.1, 182.0, 190.0}",24.0,75006.0
490,Mr,Male,Single,1/1/2019,12/31/2020,Inactive,12/31/2020,Labour,Contarct Basis,Hindu,Unskilled Labor,1995.0,NA,NA,NA,NA,NA,NA
495,Mr,Male,Married,1/1/2019,\N,Active,\N,Labour,Contarct Basis,Buddhist,Cook,1957.0,15.26,-2.2,-4.02,{193.0},10.0,40854.0
496,Mr,Male,Married,7/1/2017,\N,Active,\N,Staff,Contarct Basis,Buddhist,Technical Officer,1988.0,10.92,0.33,-2.62,"{169.0, 206.0}",6.0,63719.0
501,Mr,Male,Married,12/7/2020,10/31/2021,Inactive,10/31/2021,Labour,Contarct Basis,Buddhist,Unskilled Labor,1958.0,10.68,-0.14,-1.55,{190.0},25.0,35233.0
504,Mr,Male,Married,1/1/2019,3/2/2021,Inactive,3/2/2021,Labour,Contarct Basis,Hindu,Unskilled Labor,1991.0,12.84,-0.08,-3.76,{187.0},3.0,25418.0
505,Mr,Male,Married,8/28/2017,6/30/2021,Inactive,6/30/2021,Staff,Contarct Basis,Buddhist,Driver-Tractor,1959.0,13.29,-0.92,-5.2,"{179.0, 179.1}",15.0,NA
508,Mr,Male,Married,9/9/2017,5/30/2020,Inactive,5/30/2020,Staff,Contarct Basis,Buddhist,Driver,1989.0,NA,NA,NA,NA,NA,NA
509,Ms,Female,Married,9/15/2017,\N,Inactive,3/13/2020,Staff,Contarct Basis,Hindu,Quantity Surveyor,1993.0,NA,NA,NA,NA,NA,NA
510,Mr,Male,Single,9/15/2017,2/10/2022,Inactive,2/10/2022,Staff,Contarct Basis,Hindu,Quantity Surveyor,1991.0,8.76,0.6,-1.36,"{179.1, 179.0}",3.0,86233.0
512,Mr,Male,Single,10/2/2017,6/12/2020,Inactive,6/12/2020,Staff,Contarct Basis,Buddhist,Driver,1994.0,NA,NA,NA,NA,NA,NA
514,Ms,Female,Single,11/1/2017,1/18/2021,Inactive,1/25/2021,Staff,Contarct Basis,Buddhist,Design Engineer,1994.0,NA,NA,NA,NA,NA,NA
515,Mr,Male,Single,12/22/2017,\N,Inactive,10/21/2020,Staff,Contarct Basis,Buddhist,Quantity Surveyor,1992.0,NA,NA,NA,NA,NA,NA
516,Mr,Male,Single,1/15/2018,\N,Active,\N,Staff,Contarct Basis,Buddhist,IT Executive,1990.0,8.94,0.2,-1.08,"{1.0, 202.0, 203.0}",16.0,42553.0
517,Ms,Female,Single,1/15/2018,\N,Active,\N,Staff,Contarct Basis,Buddhist,Quantity Surveyor,1993.0,8.9,-0.02,-0.54,{1.0},10.0,81935.0
520,Mr,Male,Married,1/1/2019,6/30/2020,Inactive,6/30/2020,Labour,Contarct Basis,Buddhist,Skilled Labor,1977.0,NA,NA,NA,NA,NA,NA
521,Mr,Male,Married,1/1/2019,11/30/2020,Inactive,11/30/2020,Labour,Contarct Basis,Buddhist,Skilled Labor,1977.0,NA,NA,NA,NA,NA,NA
523,Ms,Female,Married,1/1/2019,\N,Active,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1970.0,9.16,-0.09,0.03,{169.0},0.0,17034.0
532,Mr,Male,Married,1/9/2019,12/31/2020,Inactive,12/31/2020,Labour,Contarct Basis,Buddhist,Skilled Labor,1994.0,NA,NA,NA,NA,NA,NA
534,Mr,Male,Single,1/1/2019,1/12/2022,Inactive,1/12/2022,Labour,Contarct Basis,Hindu,Unskilled Labor,1997.0,10.93,0.09,-2.02,{187.0},4.0,25885.0
536,Mr,Male,Single,2/16/2018,2/28/2021,Inactive,2/28/2021,Staff,Contarct Basis,Muslim,Site Supervisor,1997.0,9.42,0.15,-0.57,{187.0},1.0,NA
537,Mr,Male,Married,2/22/2018,\N,Active,\N,Staff,Contarct Basis,Buddhist,Social Environment Officer,1991.0,11.96,-0.35,-3.24,{193.0},22.0,76420.0
538,Mr,Male,Single,4/18/2018,\N,Inactive,8/11/2020,Staff,Contarct Basis,Muslim,Supervisor,1994.0,NA,NA,NA,NA,NA,NA
539,Mr,Male,Single,4/20/2018,5/31/2020,Inactive,5/31/2020,Staff,Contarct Basis,Buddhist,Operator - JCB,1993.0,NA,NA,NA,NA,NA,NA
540,Ms,Female,Single,10/2/2019,6/30/2020,Inactive,6/30/2020,Staff,Contarct Basis,Buddhist,Trainee QS,1995.0,NA,NA,NA,NA,NA,NA
541,Miss,Female,Single,10/22/2019,\N,Inactive,8/31/2020,Staff,Contarct Basis,Buddhist,Management Trainee,1994.0,NA,NA,NA,NA,NA,NA
545,Mr,Male,Single,4/22/2019,\N,Active,\N,Staff,Contarct Basis,Buddhist,Planning Engineer,1990.0,12.28,-0.14,-4.19,"{1.0, 196.0, 198.0, 198.1, 201.0}",18.0,104626.0
546,Mr,Male,Married,6/6/2019,\N,Inactive,6/19/2020,Management,Contarct Basis,Buddhist,Foreman,1978.0,NA,NA,NA,NA,NA,NA
549,Mr,Male,Single,12/5/2020,5/31/2021,Inactive,5/31/2021,Staff,Contarct Basis,Buddhist,Excavator Operator,2001.0,15.5,-0.5,-6.0,{199.1},0.0,27016.0
550,Mr,Male,Married,9/1/2019,12/31/2022,Inactive,12/27/2022,Staff,Contarct Basis,Buddhist,Driver,1973.0,12.12,-0.75,-3.01,"{1.0, 205.0}",30.0,69721.0
551,Mr,Female,Single,10/14/2019,\N,Active,\N,Staff,Contarct Basis,Buddhist,Store Supervisor,1984.0,8.81,-0.12,-0.65,{1.0},7.0,45338.0
553,Mr,Male,Single,10/25/2019,3/10/2020,Inactive,3/10/2020,Staff,Contarct Basis,Buddhist,Account Executive,1996.0,NA,NA,NA,NA,NA,NA
554,Mr,Male,Single,7/19/2018,\N,Inactive,7/17/2020,Staff,Contarct Basis,Buddhist,Assistant Accountant,1992.0,NA,NA,NA,NA,NA,NA
556,Mr,Male,Married,11/1/2018,7/20/2022,Inactive,7/20/2022,Management,Contarct Basis,Buddhist,Manager Finance & Operations,1980.0,9.05,0.29,-1.17,"{1.0, 203.0, 179.1}",17.0,NA
557,Mr,Male,Married,11/1/2018,\N,Active,\N,Management,Contarct Basis,Buddhist,Chief Operating Officer,1972.0,9.14,0.1,-0.74,"{1.0, 193.0, 198.1, 203.0, 205.0, 206.0, 179.2, 179.1, 189.0}",18.0,NA
558,Mr,Male,Married,11/1/2018,\N,Active,\N,Management,Contarct Basis,Buddhist,Chief Executive Officer,1975.0,NA,NA,NA,NA,NA,NA
560,Mr,Male,Single,12/18/2018,8/31/2020,Inactive,8/31/2020,Staff,Contarct Basis,Buddhist,Helper - Lorry,1995.0,NA,NA,NA,NA,NA,NA
561,Ms,Female,Married,1/21/2019,\N,Inactive,12/4/2020,Staff,Contarct Basis,Buddhist,HR Executive,1992.0,NA,NA,NA,NA,NA,NA
562,Mr,Male,Single,3/11/2019,12/5/2020,Inactive,12/5/2020,Staff,Contarct Basis,Buddhist,Trainee QS,1998.0,NA,NA,NA,NA,NA,NA
563,Mr,Male,Single,3/11/2019,6/10/2020,Inactive,6/10/2020,Staff,Contarct Basis,Buddhist,Trainee QS,1997.0,NA,NA,NA,NA,NA,NA
565,Mr,Male,Single,5/15/2019,9/18/2021,Inactive,9/18/2021,Staff,Contarct Basis,Buddhist,Operation Executive,1995.0,8.81,-0.12,-0.81,"{1.0, 189.0}",15.0,41000.0
569,Mr,Male,Married,6/3/2019,9/20/2021,Inactive,9/20/2021,Management,Contarct Basis,Buddhist,Construction Manager,1966.0,9.6,-0.76,-0.72,"{194.0, 194.1, 190.0, 1.0}",18.0,NA
570,Mr,Male,Single,6/12/2019,10/28/2020,Inactive,10/28/2020,Staff,Contarct Basis,Catholic,Store Executive,1985.0,NA,NA,NA,NA,NA,NA
572,Ms,Female,Married,8/5/2019,2/28/2021,Inactive,2/28/2021,Staff,Contarct Basis,Buddhist,HR Executive,1990.0,8.3,0.83,-0.63,{1.0},1.0,NA
573,Mr,Male,Single,9/5/2019,5/31/2021,Inactive,5/31/2021,Staff,Contarct Basis,Buddhist,Driver,1992.0,12.33,-1.58,-2.91,{1.0},12.0,NA
574,Ms,Female,Married,11/1/2019,\N,Inactive,6/12/2020,Staff,Contarct Basis,Buddhist,Accountant,1983.0,NA,NA,NA,NA,NA,NA
576,Ms,Female,Single,8/1/2020,12/12/2020,Inactive,12/12/2020,Staff,Contarct Basis,Buddhist,HR Assistant,1999.0,NA,NA,NA,NA,NA,NA
582,Mr,Male,Married,7/12/1999,\N,Active,\N,Staff,Permanant,Buddhist,Technical Officer,1965.0,10.83,-0.05,-2.31,"{198.0, 198.1}",4.0,98255.0
583,Mr,Male,Married,9/29/2003,\N,Active,\N,Staff,Permanant,Buddhist,Store Keeper,1981.0,13.14,0.18,-5.61,"{194.0, 194.1}",28.0,76968.0
584,Mr,Male,Married,8/10/2019,\N,Active,\N,Staff,Contarct Basis,Buddhist,Engineer Assistant,1988.0,10.9,0.31,-2.34,"{198.1, 198.0, 203.0, 205.0, 206.0}",3.0,72171.0
585,Mr,Male,Married,8/5/2019,8/15/2020,Inactive,8/15/2020,Staff,Contarct Basis,Buddhist,Quantity Surveyor,1990.0,NA,NA,NA,NA,NA,NA
586,Mr,Male,Married,8/1/2019,\N,Inactive,6/13/2020,Staff,Contarct Basis,Buddhist,Technical Officer,1976.0,NA,NA,NA,NA,NA,NA
589,Mr,Male,Married,8/1/2019,11/19/2020,Inactive,11/19/2020,Staff,Contarct Basis,Buddhist,Engineer Assistant,1961.0,NA,NA,NA,NA,NA,NA
590,Mr,Male,Single,8/1/2019,12/31/2019,Inactive,12/31/2019,Staff,Contarct Basis,Muslim,Technical Officer,1994.0,NA,NA,NA,NA,NA,NA
591,Mr,Male,Married,8/1/2019,12/14/2019,Inactive,12/14/2019,Staff,Contarct Basis,Buddhist,Technical Officer,1995.0,NA,NA,NA,NA,NA,NA
592,Mr,Male,Married,8/15/2019,1/31/2020,Inactive,1/31/2020,Staff,Contarct Basis,Buddhist,Technical Officer,1991.0,NA,NA,NA,NA,NA,NA
594,Mr,Male,Single,8/2/2019,12/7/2019,Inactive,12/7/2019,Staff,Contarct Basis,Buddhist,Technical Officer,1992.0,NA,NA,NA,NA,NA,NA
595,Mr,Male,Married,8/1/2019,\N,Inactive,11/30/2019,Staff,Contarct Basis,Buddhist,Supervisor,1993.0,NA,NA,NA,NA,NA,NA
596,Mr,Male,Single,8/22/2019,\N,Active,\N,Staff,Contarct Basis,Buddhist,Technical Officer,1991.0,9.68,0.67,-2.27,"{179.0, 179.1, 196.0, 179.2}",23.0,52869.0
597,Ms,Female,Single,12/1/2019,\N,Active,\N,Staff,Contarct Basis,Buddhist,Business Analyst,1988.0,8.68,0.04,-0.71,"{1.0, 2.0}",3.0,74416.0
